f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,label
0.0,0.0,-1.3285966,0.9929675,-2.4289882,2.2102969,-2.106163,3.4358244,-0.89818054,3.6070657,-3.022129,-2.1274703,-2.4798048,2.3780973,-1.8582242,2.8583937,-1.7073834,1.748715,-1.3710083,-2.9154253,-0.582658,2.201718,-0.52408165,2.0654309,-0.7994772,0.6006964,0.34276623,-2.9608052,0.9560185,1.8276554,0.6363805,1.4894336,0.27085268,0.059244346,1.8072214,-2.5900166,2.002285,0.93191844,1.6278558,0.6326281,1.3054361,-0.693119,0
0.0,0.0,-1.7598654,0.78404415,-3.1515496,0.94215196,-2.4934177,1.6582906,-0.9743739,1.7152201,-2.4577541,-4.6332536,-1.985824,0.075147785,-1.9766128,1.4502946,-2.0764,0.7025183,-0.40382326,-5.193555,0.1055316,0.61264336,-0.46236467,1.3981006,-0.99154973,-0.12972718,1.4112623,-4.804335,1.6662737,0.52353835,1.0123596,0.76472014,0.5480282,-0.7980346,2.7953064,-3.9682305,2.8336802,-0.20493773,2.3066566,0.025275996,1.9534127,-1.1568909,0
0.0,0.0,-4.370463,1.5420381,-7.7730412,1.5178238,-7.396942,3.6364183,-4.9604144,4.7630367,-4.6785398,-10.159545,-2.7259302,1.933282,-3.8649604,4.7386074,-4.7412386,2.4320292,0.3509464,-11.476933,2.09708,2.4789834,0.17660962,3.9875338,-0.91713184,0.398584,4.67264,-10.72236,5.7624087,2.1307225,3.6796594,2.744256,2.5995004,-0.9423135,7.830776,-9.043192,8.574403,0.10300651,7.061043,1.106775,6.1061554,-1.3425268,0
0.0,0.0,-1.8074541,0.53455734,-3.204757,0.12194271,-3.1401567,-0.068893135,-2.454939,-0.032995846,-1.4932653,-5.9935455,-0.5136316,-0.73855364,-1.1885719,0.6626318,-1.6944741,-0.3732859,0.61359614,-6.6315503,1.4659451,-0.6728176,0.47053492,0.44385743,-0.023107871,-0.999733,2.4236567,-6.2573915,2.999568,-0.9016575,2.0591931,-0.3450378,1.608314,-1.8264271,3.7192936,-5.4713063,4.073391,-1.7549158,3.2761798,-1.0478544,2.741711,-1.946064,0
0.0,0.0,-3.9695308,1.7714118,-6.8943257,1.304872,-6.261855,1.9356364,-4.768008,3.518397,-2.8077803,-11.083541,0.6182606,1.4811863,-1.2633455,4.3981586,-3.2064087,2.3354733,2.1689975,-12.4263525,5.0400753,1.3198503,2.4620128,3.3592885,0.7562915,0.6542348,6.2244854,-11.479492,8.483441,0.9569845,5.978963,1.9297858,4.4781256,-1.014125,9.0596485,-9.528846,10.340169,-0.91575116,8.339763,0.4206147,6.836062,-1.4455018,0
0.0,0.0,-2.0173988,1.1728965,-3.933525,1.9491744,-3.5244694,3.788989,-1.642357,4.372108,-3.8383913,-3.9998562,-3.7906663,2.0674288,-2.8142543,3.3465772,-2.222763,2.28897,-1.0699722,-4.720286,-0.84273934,2.6494126,-0.7754137,2.528508,-0.968127,0.25045982,1.5114961,-4.141077,1.5091367,2.557668,1.1084015,2.2380784,0.917148,0.1423447,3.496121,-3.036137,3.180572,1.8936282,2.8470843,1.4719843,2.901056,-0.4378423,0
0.0,0.0,-2.3433592,0.49555334,-4.3623176,1.0061355,-4.1336503,2.3568795,-2.4690802,3.1368458,-4.7631993,-5.717662,-4.882585,1.2570478,-3.3875785,3.316552,-2.35924,2.6489606,-1.7297218,-6.372117,-1.6058897,2.0414734,-1.0785971,2.6313806,-0.9059584,0.42336664,1.1929499,-5.606085,1.2322325,2.2027984,1.2786763,2.2671733,1.3770275,0.16908999,3.6607325,-4.3300347,3.3755715,1.477543,3.21883,1.6379844,3.3501458,-0.13396578,0
0.0,0.0,-2.2452385,1.0923326,-4.081065,1.5591162,-3.4300485,3.4064293,-1.3678242,4.125166,-3.2520297,-5.0476193,-2.5604963,1.441331,-2.497401,3.145107,-2.5051615,2.0804484,-0.55014646,-5.6506658,0.2904428,1.5219427,-0.45057112,2.2214699,-0.9862335,0.16535884,1.9151409,-5.05263,2.4306993,1.4319332,1.4463403,1.5136772,0.8547248,-0.5823248,3.8391109,-3.9209273,4.023936,0.5272748,3.2584782,0.3953212,2.84008,-1.359457,0
0.0,0.0,-1.1890328,0.2608367,-2.6122293,-0.0038579262,-3.083733,0.11011814,-1.9578114,0.33906803,-1.8082308,-4.147347,-1.6859238,-0.9493178,-1.4521585,0.20229027,-1.2717526,-0.16378893,-0.40638456,-4.3651037,-0.34032705,-0.5121369,-0.45608196,0.18081416,-0.56367487,-0.82599676,0.8666062,-3.972295,0.82814425,-0.5089089,0.5342083,-0.03931664,0.37906596,-0.9151429,1.8956115,-3.3051088,1.793587,-1.0389205,1.5764817,-0.65526116,1.4745646,-1.3103722,0
0.0,0.0,-1.926724,0.6712843,-4.161733,0.93526334,-4.86913,2.0678043,-3.3458388,2.9689307,-2.7981172,-4.5636854,-2.9434943,0.70158005,-2.6382797,1.6492034,-2.2715476,0.3561676,-0.6017148,-4.7944245,-0.6987598,2.279266,-0.8852579,2.0544755,-0.95388436,-0.30017427,1.4214822,-3.981073,1.1167828,2.3888044,0.6284107,2.0038958,0.57805926,-0.12143453,3.0175228,-2.8013725,2.483077,1.5807337,2.0357242,1.2950926,2.0574172,-0.2577762,0
0.0,0.0,-1.1310021,0.46743885,-2.1051672,1.2085551,-2.6278052,2.1349874,-2.2397184,2.778535,-1.7250274,-0.9222197,-1.7872691,2.379876,-1.3869284,2.2213843,-1.1513574,1.2663493,-0.556695,-1.0645152,-0.63084245,2.681134,-0.47485155,2.0304031,-0.42534724,0.90503025,0.5593841,-0.83416647,0.33686116,2.493445,0.27502617,1.786523,0.21061105,0.71042585,1.5198808,-0.45243955,1.3019859,1.9862344,1.1777109,1.3981383,1.0611837,0.3521612,0
