f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,label
0.0,0.0,-0.02862227,-0.012288094,-0.052927554,-0.04340464,-0.043845117,-0.07381976,-0.019782007,-0.09138355,-0.052705526,-0.1007701,-0.04806295,-0.11066586,-0.041398823,-0.08425476,-0.04336995,-0.077234715,-0.030284166,-0.11223535,-0.02335149,-0.1175015,-0.018076777,-0.084044605,-0.023428738,-0.08280498,-0.007403791,-0.11389898,0.0019832253,-0.113078594,0.0034545064,-0.08121145,-0.0034998655,-0.07979061,0.015758574,-0.10874531,0.02299714,-0.11067881,0.02187121,-0.085889176,0.015400529,-0.08058858,0
0.0,0.0,-0.028289348,-0.011234999,-0.055983216,-0.040036663,-0.05502367,-0.069376126,-0.0370166,-0.088361025,-0.055610716,-0.10303809,-0.044483274,-0.112394705,-0.037626028,-0.087286115,-0.041048765,-0.07642214,-0.031411022,-0.11529538,-0.021682918,-0.12016344,-0.016513526,-0.08585343,-0.022385538,-0.07993476,-0.0076818466,-0.11696641,0.0033346415,-0.11304328,0.0046218634,-0.0811224,-0.0028492808,-0.07784115,0.015702903,-0.11114733,0.02403742,-0.11091709,0.023317099,-0.0857072,0.016459167,-0.07985322,0
0.0,0.0,-0.025991857,-0.0098024905,-0.04993862,-0.037819028,-0.04348451,-0.06575157,-0.021838903,-0.08269434,-0.05166343,-0.0976626,-0.04513076,-0.10412802,-0.037255883,-0.078052044,-0.039304793,-0.07126254,-0.029646695,-0.11048764,-0.021573722,-0.10911766,-0.015466332,-0.075417176,-0.020944893,-0.07622485,-0.0069707036,-0.11299567,0.0032116175,-0.105431736,0.004897177,-0.07375373,-0.001996398,-0.07428457,0.015977979,-0.10884562,0.023828745,-0.10443303,0.022965193,-0.078800336,0.016857445,-0.07427074,0
0.0,0.0,-0.029910207,-0.009464353,-0.05545008,-0.039195046,-0.048980474,-0.07174815,-0.031969905,-0.09245205,-0.059524924,-0.107121766,-0.04370141,-0.11235976,-0.034893394,-0.08045673,-0.039633393,-0.075335935,-0.038438976,-0.12201543,-0.020326495,-0.11878492,-0.013832629,-0.08325797,-0.022379518,-0.083981305,-0.015913785,-0.12539674,0.003118217,-0.116912425,0.004971862,-0.08345328,-0.006130576,-0.08288382,0.007159829,-0.120922595,0.022346675,-0.11413714,0.022218823,-0.08721435,0.012061536,-0.08285084,0
0.0,0.0,-0.030734837,-0.011056542,-0.05646071,-0.042588472,-0.050665915,-0.074763194,-0.03257233,-0.095591664,-0.057183266,-0.10556196,-0.046173036,-0.113184065,-0.036367297,-0.0832655,-0.03815782,-0.073706776,-0.03406042,-0.1187592,-0.02140057,-0.11858116,-0.014475107,-0.08267474,-0.020793974,-0.078799844,-0.010878801,-0.1207692,0.0040149093,-0.112576276,0.0056666136,-0.07881676,-0.003406167,-0.07641746,0.012288094,-0.11577141,0.02410978,-0.11000976,0.023172498,-0.08320823,0.014472067,-0.07824847,0
0.0,0.0,-0.029488862,-0.013797969,-0.054868817,-0.045343995,-0.052375734,-0.0706975,-0.032159448,-0.08315453,-0.047379732,-0.097594425,-0.046244144,-0.11085828,-0.041705012,-0.0921756,-0.04005444,-0.07552114,-0.02361083,-0.10986586,-0.024478555,-0.12562262,-0.019848168,-0.093140334,-0.018769085,-0.07669659,-0.0008793473,-0.11172372,0.002301693,-0.10894175,0.003368318,-0.075520664,0.0014850497,-0.06370619,0.022514582,-0.10541326,0.02322495,-0.10197723,0.02167207,-0.076082736,0.01857245,-0.067412436,0
0.0,0.0,-0.028494716,-0.013653368,-0.053389013,-0.04859516,-0.050320506,-0.069325596,-0.0306198,-0.07107583,-0.044896424,-0.11010599,-0.056528628,-0.11121486,-0.05135548,-0.084985286,-0.044636548,-0.080625,-0.024297237,-0.11982931,-0.0348534,-0.11874615,-0.03074658,-0.081909835,-0.024965882,-0.079477444,-0.0024023056,-0.11895333,-0.0105685,-0.10397884,-0.009182632,-0.06952706,-0.004669845,-0.07051672,0.020662904,-0.11150159,0.01026994,-0.09602463,0.008910358,-0.070830986,0.012500942,-0.07083827,0
0.0,0.0,-0.031971335,-0.018537521,-0.05568689,-0.056088105,-0.049512565,-0.080836564,-0.02696389,-0.083571345,-0.03618288,-0.11857185,-0.053109646,-0.118331656,-0.048931062,-0.09590185,-0.04143673,-0.08700088,-0.015036166,-0.12661934,-0.03271383,-0.121752605,-0.028647065,-0.08742142,-0.020755112,-0.08090009,0.006774187,-0.12352711,-0.009116411,-0.107064724,-0.007512629,-0.073851675,-0.0011916161,-0.070996776,0.028930068,-0.11195804,0.011879504,-0.095998436,0.01038003,-0.07143909,0.015597284,-0.0692275,0
0.0,0.0,-0.037285805,-0.024498105,-0.06300509,-0.06691255,-0.05238545,-0.09383407,-0.02489239,-0.09502691,-0.04007095,-0.1281408,-0.048868597,-0.12589137,-0.04723072,-0.09947279,-0.044038534,-0.095328525,-0.01742661,-0.1371768,-0.026110828,-0.12891632,-0.024917305,-0.09593043,-0.021006107,-0.09468894,0.005246341,-0.13359408,-0.0029790998,-0.113310724,-0.0038152337,-0.08268379,-0.0006773472,-0.084058255,0.028282046,-0.121955365,0.018295169,-0.105200216,0.015171289,-0.08218129,0.017304659,-0.08183792,0
0.0,0.0,-0.037267625,-0.024211824,-0.06297338,-0.06776656,-0.05169201,-0.094426066,-0.023936868,-0.094022125,-0.039666593,-0.12927221,-0.04980886,-0.12640175,-0.047253072,-0.096800566,-0.04269439,-0.09277585,-0.017187297,-0.1376045,-0.027003765,-0.12890369,-0.025323987,-0.09434138,-0.020595133,-0.093597665,0.005268514,-0.13382629,-0.0038508773,-0.11323461,-0.0044025183,-0.08189827,-0.0007061362,-0.0836508,0.028160334,-0.12220028,0.017136097,-0.104935795,0.014402926,-0.08166127,0.017204583,-0.08164264,0
0.0,0.0,-0.033761322,-0.022580072,-0.059624553,-0.0633302,-0.051943243,-0.09218693,-0.026024163,-0.09627928,-0.041181684,-0.11574814,-0.04288894,-0.12788099,-0.041499972,-0.108162925,-0.040222585,-0.09514083,-0.017997682,-0.1258332,-0.019952238,-0.13173272,-0.019162238,-0.09941627,-0.017928064,-0.087213114,0.004889071,-0.12486249,0.0038330555,-0.11240494,0.0020495057,-0.08238742,0.0017584562,-0.075239375,0.027130783,-0.11611493,0.023632824,-0.105391085,0.02027011,-0.08285235,0.019612014,-0.07783371,0
0.0,0.0,-0.034453273,-0.017451644,-0.06088674,-0.05692056,-0.052437246,-0.08572611,-0.02671957,-0.09254412,-0.04315281,-0.10872617,-0.04560387,-0.122551635,-0.040928245,-0.099535555,-0.037555695,-0.084395945,-0.018966734,-0.117736876,-0.020861924,-0.13150662,-0.018717349,-0.09953648,-0.017191887,-0.086602926,0.0037406683,-0.11635853,0.0046726465,-0.11285597,0.002765894,-0.08195768,0.0010309815,-0.07361174,0.025722325,-0.10702361,0.025261402,-0.10483728,0.021817148,-0.08245674,0.019613802,-0.07639399,0
0.0,0.0,-0.03444326,-0.017930776,-0.06063193,-0.058214784,-0.051448584,-0.08775963,-0.025306225,-0.09474449,-0.043465793,-0.11125104,-0.04575324,-0.1252147,-0.04015529,-0.100377634,-0.03652364,-0.0858002,-0.019155622,-0.11942883,-0.020652115,-0.13239825,-0.01743257,-0.0984115,-0.016368628,-0.08554943,0.003925562,-0.11722796,0.0058763623,-0.11531755,0.004740238,-0.083523184,0.0025334358,-0.074532494,0.026324332,-0.107403606,0.027807832,-0.107702434,0.024365962,-0.0845802,0.021151483,-0.07727854,0
